Video ID,Emotion_Percentages
SVO-iq2bjTQ,"{'positive': 30.6969732111794, 'joy': 23.193784065870346, 'trust': 10.634349994201555, 'anticipation': 9.70659863156674, 'negative': 6.401484402180216, 'surprise': 5.230198306853763, 'sadness': 4.917082221964514, 'fear': 3.31671112141946, 'disgust': 2.9804012524643397, 'anger': 2.922416792299664}"
SrlAlMsdr3g,"{'positive': 26.563575127657263, 'joy': 20.10647158946873, 'trust': 11.038279071451852, 'anticipation': 10.335711440263644, 'negative': 8.242494477238981, 'surprise': 5.816101111795168, 'disgust': 4.642740738058161, 'anger': 4.577554050628327, 'sadness': 4.4652880889436135, 'fear': 4.21178430449426}"
TPEdTajhR6A,"{'positive': 29.134053919741582, 'joy': 21.953037644427877, 'trust': 11.80270841098273, 'anticipation': 10.224872654988197, 'negative': 6.708907938874395, 'surprise': 5.3422785439185, 'sadness': 4.919865821841222, 'fear': 3.3420300658466893, 'disgust': 3.3047583550751645, 'anger': 3.26748664430364}"
UAUfo6KY1wg,"{'positive': 28.816270566727603, 'joy': 20.70383912248629, 'trust': 13.43692870201097, 'anticipation': 10.214808043875685, 'negative': 7.9067641681901275, 'sadness': 4.684643510054844, 'surprise': 4.5932358318098725, 'anger': 3.3820840950639854, 'fear': 3.3592321755027426, 'disgust': 2.902193784277879}"
UYEWJcmWKGQ,"{'positive': 34.05575386707462, 'joy': 28.57385687574367, 'trust': 11.303756586775455, 'anticipation': 9.408465068842427, 'surprise': 5.099439061703213, 'sadness': 3.5441101478837327, 'negative': 3.221145673975863, 'fear': 1.776304606493286, 'disgust': 1.5128335883052866, 'anger': 1.5043345232024476}"
VTPdktgrtF8,"{'positive': 27.55244755244755, 'joy': 18.405594405594407, 'trust': 12.671328671328672, 'anticipation': 11.776223776223777, 'negative': 9.034965034965035, 'fear': 4.699300699300699, 'sadness': 4.559440559440559, 'surprise': 4.195804195804196, 'anger': 3.972027972027972, 'disgust': 3.132867132867133}"
VabOWgtG2D4,"{'positive': 30.29335461983636, 'joy': 22.570345240470964, 'trust': 11.315106765116743, 'anticipation': 9.878267810816205, 'negative': 7.044502095390142, 'surprise': 4.929155857114349, 'sadness': 4.609858311714229, 'fear': 3.5122729994013167, 'anger': 2.9335461983636, 'disgust': 2.9135901017760926}"
VxvfhuxOE1I,"{'positive': 26.54755459303375, 'joy': 18.49846598086988, 'trust': 12.037538350478252, 'anticipation': 10.250857245984479, 'negative': 8.04908861216387, 'surprise': 5.666847139505505, 'sadness': 5.540516152319077, 'disgust': 4.60205739036275, 'fear': 4.475726403176322, 'anger': 4.331348132106118}"
VyEf4EBXe8o,"{'positive': 21.516465863453817, 'negative': 14.43855421686747, 'joy': 13.233734939759037, 'anticipation': 10.753413654618473, 'trust': 10.628112449799197, 'anger': 7.720481927710843, 'sadness': 6.0497991967871485, 'fear': 5.776706827309237, 'disgust': 5.545381526104418, 'surprise': 4.337349397590361}"
VylU-ueLA_g,"{'positive': 26.308724832214764, 'joy': 16.375838926174495, 'trust': 12.818791946308725, 'anticipation': 10.87248322147651, 'negative': 10.201342281879194, 'sadness': 5.100671140939597, 'anger': 4.832214765100671, 'surprise': 4.563758389261745, 'fear': 4.563758389261745, 'disgust': 4.3624161073825505}"
X89WJTXA8KQ,"{'positive': 33.09582309582309, 'joy': 25.528255528255528, 'trust': 10.859950859950859, 'anticipation': 10.417690417690418, 'surprise': 5.356265356265356, 'negative': 4.447174447174447, 'sadness': 3.4152334152334154, 'disgust': 2.5798525798525795, 'fear': 2.30958230958231, 'anger': 1.99017199017199}"
XNrTIQjHuKs,"{'positive': 28.903335820100178, 'joy': 19.322178407758713, 'trust': 10.913353937972929, 'anticipation': 10.188639028029414, 'negative': 9.037621229883833, 'surprise': 5.147607375039966, 'anger': 4.54012575935202, 'fear': 4.16711073217521, 'sadness': 3.9326441436640733, 'disgust': 3.8473835660236597}"
XxPPdlo72ho,"{'positive': 33.415233415233416, 'joy': 24.6007371007371, 'trust': 9.705159705159705, 'anticipation': 8.906633906633907, 'surprise': 5.743243243243244, 'negative': 5.589680589680589, 'sadness': 3.4090909090909087, 'fear': 2.979115479115479, 'anger': 2.9176904176904177, 'disgust': 2.7334152334152333}"
YQC7OtyHhxU,"{'positive': 29.379045307443363, 'joy': 22.11771844660194, 'trust': 11.488673139158575, 'anticipation': 10.477346278317153, 'negative': 6.866909385113269, 'surprise': 5.39037216828479, 'sadness': 4.8038025889967635, 'fear': 3.539644012944984, 'disgust': 3.1351132686084147, 'anger': 2.801375404530744}"
