Video ID,Emotion_Percentages
XNrTIQjHuKs,"{'positive': 31.341731191494283, 'joy': 20.95227088870912, 'trust': 11.83404599560846, 'anticipation': 11.048191378712586, 'negative': 9.800069340113255, 'surprise': 5.581879117069224, 'anger': 4.9231480411418005, 'fear': 4.518664047151278}"
XxPPdlo72ho,"{'positive': 35.41666666666667, 'joy': 26.07421875, 'trust': 10.286458333333332, 'anticipation': 9.440104166666668, 'surprise': 6.087239583333334, 'negative': 5.924479166666666, 'sadness': 3.61328125, 'fear': 3.1575520833333335}"
YQC7OtyHhxU,"{'positive': 31.233200731104183, 'joy': 23.513600688098055, 'trust': 12.213740458015266, 'anticipation': 11.138587248682938, 'negative': 7.30029029136652, 'surprise': 5.730566605741318, 'sadness': 5.106977744328567, 'fear': 3.763036232663154}"
_Jqi9k3tXoQ,"{'positive': 32.683790965456154, 'joy': 22.232063773250665, 'trust': 11.736049601417184, 'anticipation': 10.363153232949513, 'negative': 8.54738706820195, 'sadness': 5.66873339238264, 'surprise': 4.91585473870682, 'fear': 3.8529672276350757}"
_Zr3ObadDnI,"{'positive': 31.759962049335865, 'joy': 21.28399746995572, 'trust': 12.357685009487666, 'anticipation': 11.883301707779886, 'negative': 7.977545857052498, 'surprise': 5.827008222643896, 'sadness': 5.04427577482606, 'anger': 3.8662239089184065}"
aB7JCNRI3rY,"{'positive': 35.099637681159415, 'joy': 24.84148550724638, 'trust': 12.13768115942029, 'anticipation': 10.009057971014492, 'surprise': 6.023550724637681, 'negative': 5.04981884057971, 'sadness': 4.1893115942028984, 'fear': 2.6494565217391304}"
aTSgJgRnqG0,"{'positive': 30.752888062674277, 'joy': 22.148453060682513, 'anticipation': 13.185499933607755, 'trust': 10.397025627406718, 'negative': 8.816890187226132, 'surprise': 5.550391714247776, 'sadness': 4.780241667773204, 'fear': 4.3686097463816225}"
eOfOrQJWeP0,"{'positive': 29.166666666666668, 'joy': 18.229166666666664, 'negative': 13.802083333333334, 'trust': 11.067708333333332, 'anticipation': 10.9375, 'sadness': 6.380208333333333, 'anger': 5.859375, 'fear': 4.557291666666666}"
eyUs2JgrV9E,"{'positive': 31.149113660062568, 'joy': 24.362877997914495, 'trust': 12.62148070907195, 'anticipation': 11.074035453597498, 'surprise': 6.093847758081335, 'negative': 6.0604796663190825, 'sadness': 5.201251303441085, 'fear': 3.4369134515119915}"
fsYZye1Ykao,"{'positive': 31.975273953357686, 'joy': 23.180668727170552, 'trust': 11.098623208766508, 'negative': 9.581343073897163, 'anticipation': 8.963191907839281, 'sadness': 6.74346726608598, 'surprise': 5.28238269176735, 'fear': 3.1750491711154822}"
gKUyX7cjum4,"{'positive': 34.75535361184736, 'joy': 25.836173166729775, 'trust': 10.867095797046574, 'anticipation': 9.714333796120998, 'negative': 5.957339391644579, 'surprise': 5.460894442340864, 'sadness': 4.169296142033741, 'fear': 3.2395136522361057}"
gO_gm74yiUY,"{'positive': 30.995743838463824, 'joy': 22.918934969810948, 'trust': 12.516084331386718, 'anticipation': 11.328318321290705, 'negative': 8.561813322775414, 'surprise': 4.716420865089577, 'fear': 4.5778481639117095, 'sadness': 4.384836187271108}"
hJaXjItxL6w,"{'positive': 25.598219254312742, 'joy': 15.93396401409757, 'trust': 13.35559265442404, 'negative': 13.02170283806344, 'anticipation': 12.669263587460582, 'anger': 6.622148024485252, 'sadness': 6.603598590242997, 'disgust': 6.1955110369133735}"
haK2TnmVoT0,"{'positive': 28.528733669199895, 'joy': 20.536247971992143, 'trust': 13.645290752284179, 'anticipation': 11.25437622747844, 'negative': 9.777132610366323, 'surprise': 7.300828281103236, 'sadness': 4.833062932285885, 'anger': 4.124327555289899}"
iY1UnR7z7P0,"{'positive': 20.690253208463403, 'negative': 16.770724939299342, 'joy': 11.810613943808534, 'anticipation': 11.481096080471731, 'trust': 11.220950398890045, 'anger': 10.110995490808186, 'disgust': 9.27852930974679, 'sadness': 8.636836628511967}"
jOzaz27K48E,"{'positive': 29.677060133630288, 'joy': 18.234966592427618, 'trust': 12.416481069042316, 'anticipation': 11.219376391982184, 'negative': 9.966592427616927, 'sadness': 7.154788418708241, 'surprise': 6.152561247216036, 'fear': 5.178173719376392}"
jY3P-f6q-ZI,"{'positive': 33.52402745995423, 'joy': 23.91304347826087, 'trust': 12.105263157894736, 'anticipation': 10.205949656750573, 'negative': 6.590389016018307, 'surprise': 5.62929061784897, 'sadness': 4.668192219679634, 'disgust': 3.363844393592677}"
jwfI8BlFwMw,"{'positive': 25.871839581517005, 'joy': 16.532258064516128, 'negative': 15.039232781168266, 'trust': 11.780732345248476, 'anticipation': 11.20313862249346, 'disgust': 8.979947689625108, 'surprise': 5.51438535309503, 'sadness': 5.07846556233653}"
kavjzsRtuuA,"{'positive': 33.392070484581495, 'joy': 22.995594713656388, 'trust': 12.452276064610865, 'anticipation': 10.367107195301028, 'negative': 6.8135095447870775, 'surprise': 6.079295154185022, 'sadness': 4.787077826725404, 'fear': 3.1130690161527164}"
l2mtebeR3rA,"{'positive': 30.227708533077664, 'joy': 21.665867689357622, 'trust': 12.909875359539788, 'anticipation': 11.303930968360499, 'negative': 8.609779482262704, 'surprise': 5.680728667305848, 'sadness': 5.484180249280921, 'fear': 4.117929050814957}"
n50DZvVAulM,"{'positive': 29.034360189573462, 'joy': 20.776066350710902, 'trust': 12.274881516587678, 'anticipation': 11.137440758293838, 'negative': 10.687203791469194, 'surprise': 6.172985781990521, 'sadness': 5.793838862559242, 'disgust': 4.1232227488151665}"
ou3h0twV9TY,"{'positive': 32.25255972696246, 'joy': 21.501706484641637, 'trust': 9.812286689419796, 'negative': 9.129692832764505, 'anticipation': 8.617747440273039, 'sadness': 6.825938566552901, 'surprise': 6.0580204778157, 'anger': 5.802047781569966}"
pJ8hLOkhl7M,"{'positive': 28.155339805825243, 'joy': 16.637246248896734, 'anticipation': 12.047661076787291, 'trust': 11.959399823477494, 'negative': 11.385701676963812, 'sadness': 7.016769638128862, 'fear': 6.751985878199471, 'surprise': 6.045895851721095}"
qNthtD7KmiA,"{'positive': 33.058230169646954, 'joy': 23.383768913342504, 'anticipation': 9.536909674461256, 'trust': 9.399358092618066, 'negative': 9.032553874369555, 'surprise': 5.685465382851903, 'sadness': 5.364511691884457, 'disgust': 4.53920220082531}"
qmHAvgEBnsk,"{'positive': 30.931521544788126, 'joy': 17.8079742535312, 'trust': 14.232075809047023, 'anticipation': 10.995887716788843, 'negative': 8.743071696763812, 'disgust': 6.937242982299302, 'surprise': 5.381727158948686, 'sadness': 4.970498837833006}"
rHyIOIstYRA,"{'positive': 30.1529453937149, 'joy': 20.044210777870713, 'negative': 11.243876209821963, 'trust': 10.813717289998804, 'anticipation': 9.738319990440914, 'fear': 6.29107420241367, 'sadness': 5.986378300872267, 'disgust': 5.7294778348667705}"
sQTGkLW6fwg,"{'positive': 26.449475427940367, 'joy': 18.00110436223081, 'trust': 16.73108779679735, 'negative': 10.877967973495306, 'anticipation': 10.381004969630037, 'fear': 6.129210381004969, 'sadness': 5.7426836002208725, 'surprise': 5.687465488680287}"
uXYyyhUcFg4,"{'positive': 31.276880772756115, 'joy': 20.82775153352605, 'trust': 12.952125784389763, 'anticipation': 10.336318127335542, 'negative': 8.22816047380667, 'sadness': 5.986039624903053, 'surprise': 5.640555594726081, 'disgust': 4.752168088556723}"
uZDNGVmHxn4,"{'positive': 29.103663289166015, 'joy': 19.438815276695244, 'trust': 12.782540919719407, 'anticipation': 11.909586905689789, 'negative': 9.66484801247077, 'surprise': 6.079501169134841, 'sadness': 5.705378020265004, 'anger': 5.3156664068589246}"
ua0-5FZ2Eww,"{'positive': 27.665776050522222, 'joy': 17.261760181361833, 'trust': 15.164763986721724, 'anticipation': 12.889644563193265, 'negative': 10.088251963403772, 'fear': 5.78090842846733, 'anger': 5.610881709982998, 'sadness': 5.538013116346854}"
v293iGJ2PVY,"{'positive': 31.89266693977878, 'joy': 23.90413764850471, 'trust': 11.45022531749283, 'anticipation': 10.016386726751332, 'negative': 8.090946333469889, 'surprise': 5.407619827939369, 'anger': 4.83408439164277, 'disgust': 4.403932814420319}"
vDD1lhHkGxk,"{'positive': 29.711659005432512, 'joy': 18.30338487254492, 'anticipation': 12.160468031759299, 'trust': 10.823234433765148, 'negative': 10.36356038445466, 'surprise': 7.062264939406602, 'sadness': 6.142916840785625, 'fear': 5.432511491851233}"
vGqYP1sKJ2Y,"{'positive': 28.65853658536585, 'joy': 19.15814319433517, 'negative': 12.450826121164438, 'anticipation': 9.854445318646734, 'trust': 9.75609756097561, 'surprise': 8.910306845003934, 'sadness': 5.64516129032258, 'fear': 5.5664830841856805}"
vvrjhuJrFVc,"{'positive': 34.564266487214, 'joy': 27.632907133243606, 'trust': 10.943808882907133, 'anticipation': 9.4128532974428, 'surprise': 6.191117092866756, 'negative': 4.853633916554509, 'sadness': 3.9030955585464335, 'disgust': 2.4983176312247646}"
vx09_4cEzlM,"{'positive': 27.91434724310268, 'joy': 18.83304213563041, 'trust': 11.828044370403479, 'negative': 11.377026532851165, 'anticipation': 11.023526065580432, 'anger': 6.488968347486897, 'surprise': 6.334565844541058, 'sadness': 6.200479460403884}"
w4HmK4JCN2U,"{'positive': 30.84009993753904, 'joy': 22.485946283572765, 'trust': 12.211118051217989, 'anticipation': 11.445971267957527, 'surprise': 7.104934415990007, 'negative': 7.058088694565896, 'sadness': 5.137414116177389, 'fear': 3.7164272329793877}"
xT8n0uBIURk,"{'positive': 29.515975956975645, 'joy': 20.215121796899716, 'trust': 13.097121164188547, 'anticipation': 12.55931667193926, 'negative': 8.47832964251819, 'fear': 5.599493831066119, 'anger': 5.283138247390067, 'surprise': 5.251502689022462}"
xqv0yo_Elj4,"{'positive': 36.441717791411044, 'joy': 23.31288343558282, 'trust': 12.024539877300613, 'anticipation': 9.325153374233128, 'negative': 7.484662576687116, 'surprise': 5.276073619631902, 'fear': 3.067484662576687, 'anger': 3.067484662576687}"
yKn3Ur6_w3c,"{'positive': 31.37278247410406, 'joy': 22.46696035242291, 'trust': 11.537087748541493, 'anticipation': 10.09644005238719, 'negative': 9.084414811287058, 'surprise': 5.774496963924277, 'sadness': 5.191094177878319, 'anger': 4.476723419454697}"
yjhibJ-OqxE,"{'positive': 30.064726568472555, 'joy': 21.008103562509557, 'trust': 12.499362927475664, 'anticipation': 11.982060037714694, 'negative': 8.684572651750676, 'surprise': 6.110799653432547, 'sadness': 5.410019876662759, 'fear': 4.240354721981551}"
zEXXe9Ef_R8,"{'positive': 28.885995027820528, 'joy': 20.208357996921983, 'trust': 11.684621759204452, 'anticipation': 11.009825973718481, 'negative': 10.548123594175447, 'sadness': 6.1145968983070915, 'surprise': 5.877826447259382, 'disgust': 5.670652302592637}"
zPUSDU0hrwE,"{'positive': 34.71275559883155, 'joy': 26.192794547224928, 'trust': 11.733203505355403, 'anticipation': 7.98442064264849, 'surprise': 6.280428432327166, 'negative': 5.598831548198637, 'sadness': 4.381694255111976, 'fear': 3.11587147030185}"
za-ogD7nLi8,"{'positive': 29.732764428475182, 'joy': 20.312149112957556, 'trust': 12.721760610824164, 'negative': 10.644509319559848, 'anticipation': 10.554682236694363, 'surprise': 6.130698405569279, 'sadness': 5.883673927689198, 'fear': 4.019761958230406}"
zgacuXdzCmw,"{'positive': 27.416934064796607, 'joy': 18.253803954042024, 'trust': 16.71928371804161, 'anticipation': 15.037263223268813, 'negative': 7.809750543422006, 'fear': 5.617948452541144, 'sadness': 4.87268398716489, 'surprise': 4.272332056722907}"
