Video ID,Top_5_Emotions
iY1UnR7z7P0,"[('joy', 681), ('anticipation', 662), ('trust', 647), ('anger', 583), ('disgust', 535), ('sadness', 498), ('fear', 421), ('surprise', 351)]"
jOzaz27K48E,"[('joy', 1310), ('trust', 892), ('anticipation', 806), ('sadness', 514), ('surprise', 442), ('fear', 372), ('disgust', 358), ('anger', 354)]"
jY3P-f6q-ZI,"[('joy', 1045), ('trust', 529), ('anticipation', 446), ('surprise', 246), ('sadness', 204), ('disgust', 147), ('fear', 145), ('anger', 106)]"
jwfI8BlFwMw,"[('joy', 1517), ('trust', 1081), ('anticipation', 1028), ('disgust', 824), ('surprise', 506), ('sadness', 466), ('fear', 434), ('anger', 404)]"
kavjzsRtuuA,"[('joy', 783), ('trust', 424), ('anticipation', 353), ('surprise', 207), ('sadness', 163), ('fear', 106), ('anger', 102), ('disgust', 95)]"
l2mtebeR3rA,"[('joy', 9039), ('trust', 5386), ('anticipation', 4716), ('surprise', 2370), ('sadness', 2288), ('fear', 1718), ('anger', 1643), ('disgust', 1640)]"
n50DZvVAulM,"[('joy', 3507), ('trust', 2072), ('anticipation', 1880), ('surprise', 1042), ('sadness', 978), ('disgust', 696), ('fear', 663), ('anger', 652)]"
ou3h0twV9TY,"[('joy', 252), ('trust', 115), ('anticipation', 101), ('sadness', 80), ('surprise', 71), ('anger', 68), ('fear', 59), ('disgust', 47)]"
pJ8hLOkhl7M,"[('joy', 377), ('anticipation', 273), ('trust', 271), ('sadness', 159), ('fear', 153), ('surprise', 137), ('disgust', 136), ('anger', 127)]"
qNthtD7KmiA,"[('joy', 510), ('anticipation', 208), ('trust', 205), ('surprise', 124), ('sadness', 117), ('disgust', 99), ('anger', 89), ('fear', 86)]"
qmHAvgEBnsk,"[('joy', 996), ('trust', 796), ('anticipation', 615), ('disgust', 388), ('surprise', 301), ('sadness', 278), ('fear', 273), ('anger', 219)]"
rHyIOIstYRA,"[('joy', 3355), ('trust', 1810), ('anticipation', 1630), ('fear', 1053), ('sadness', 1002), ('disgust', 959), ('surprise', 957), ('anger', 904)]"
sQTGkLW6fwg,"[('joy', 326), ('trust', 303), ('anticipation', 188), ('fear', 111), ('sadness', 104), ('surprise', 103), ('anger', 96), ('disgust', 81)]"
uXYyyhUcFg4,"[('joy', 2954), ('trust', 1837), ('anticipation', 1466), ('sadness', 849), ('surprise', 800), ('disgust', 674), ('fear', 547), ('anger', 507)]"
uZDNGVmHxn4,"[('joy', 1247), ('trust', 820), ('anticipation', 764), ('surprise', 390), ('sadness', 366), ('anger', 341), ('fear', 307), ('disgust', 306)]"
ua0-5FZ2Eww,"[('joy', 2132), ('trust', 1873), ('anticipation', 1592), ('fear', 714), ('anger', 693), ('sadness', 684), ('surprise', 680), ('disgust', 653)]"
v293iGJ2PVY,"[('joy', 1167), ('trust', 559), ('anticipation', 489), ('surprise', 264), ('anger', 236), ('disgust', 215), ('fear', 212), ('sadness', 190)]"
vDD1lhHkGxk,"[('joy', 438), ('anticipation', 291), ('trust', 259), ('surprise', 169), ('sadness', 147), ('fear', 130), ('anger', 119), ('disgust', 114)]"
vGqYP1sKJ2Y,"[('joy', 974), ('anticipation', 501), ('trust', 496), ('surprise', 453), ('sadness', 287), ('fear', 283), ('disgust', 276), ('anger', 256)]"
vvrjhuJrFVc,"[('joy', 3285), ('trust', 1301), ('anticipation', 1119), ('surprise', 736), ('sadness', 464), ('disgust', 297), ('fear', 290), ('anger', 267)]"
vx09_4cEzlM,"[('joy', 4635), ('trust', 2911), ('anticipation', 2713), ('anger', 1597), ('surprise', 1559), ('sadness', 1526), ('fear', 1415), ('disgust', 1277)]"
w4HmK4JCN2U,"[('joy', 1440), ('trust', 782), ('anticipation', 733), ('surprise', 455), ('sadness', 329), ('fear', 238), ('disgust', 232), ('anger', 185)]"
xT8n0uBIURk,"[('joy', 639), ('trust', 414), ('anticipation', 397), ('fear', 177), ('anger', 167), ('surprise', 166), ('disgust', 111), ('sadness', 109)]"
xqv0yo_Elj4,"[('joy', 190), ('trust', 98), ('anticipation', 76), ('surprise', 43), ('fear', 25), ('anger', 25), ('sadness', 24), ('disgust', 21)]"
yKn3Ur6_w3c,"[('joy', 1887), ('trust', 969), ('anticipation', 848), ('surprise', 485), ('sadness', 436), ('anger', 376), ('disgust', 376), ('fear', 363)]"
yjhibJ-OqxE,"[('joy', 8244), ('trust', 4905), ('anticipation', 4702), ('surprise', 2398), ('sadness', 2123), ('fear', 1664), ('anger', 1641), ('disgust', 1567)]"
zEXXe9Ef_R8,"[('joy', 3414), ('trust', 1974), ('anticipation', 1860), ('sadness', 1033), ('surprise', 993), ('disgust', 958), ('fear', 946), ('anger', 789)]"
zPUSDU0hrwE,"[('joy', 538), ('trust', 241), ('anticipation', 164), ('surprise', 129), ('sadness', 90), ('fear', 64), ('anger', 56), ('disgust', 49)]"
za-ogD7nLi8,"[('joy', 1809), ('trust', 1133), ('anticipation', 940), ('surprise', 546), ('sadness', 524), ('fear', 358), ('disgust', 349), ('anger', 326)]"
zgacuXdzCmw,"[('joy', 7054), ('trust', 6461), ('anticipation', 5811), ('fear', 2171), ('sadness', 1883), ('surprise', 1651), ('anger', 1497), ('disgust', 1106)]"
